model,eer,far,frr,acc_at_eer,tn,fp,fn,tp,top1,eer_conf,thr_eer,frr@far=1e-3,frr@far=1e-4,acc_best,thr_best,f1_best,ap
EfficientNetB0,0.0059595959595959,0.0059595959595959,0.0059595959595959,0.994040404040404,9841,59,59,9841,0.9891919191919192,0.00595959595959596,0.5967280268669128,0.025454545454545507,0.2544444444444445,0.9941414141414141,0.6039379239082336,0.9941343042066196,0.9997621990827891
SiameseCNN,0.0015151515151515,0.0015151515151515,0.0015151515151515,0.9984848484848484,9885,15,15,9885,0.9988888888888888,0.0015151515151515152,0.7460428476333618,0.0027272727272726893,0.015656565656565702,0.9986868686868687,0.7385962605476379,0.9986875315492222,0.9999905205601417
ViT,0.0062626262626262,0.0062626262626262,0.0062626262626262,0.9937373737373736,9838,62,62,9838,0.9887878787878788,0.006262626262626263,0.2532704174518585,0.04101010101010105,0.1936363636363636,0.9938888888888889,0.25513947010040283,0.9938879628221498,0.9995699300392107
