model,verif_acc_at_eer,eer,far,frr,id_top1
EfficientNetB0,0.994040404040404,0.0059595959595959,0.0059595959595959,0.0059595959595959,0.9891919191919192
SiameseCNN,0.9984848484848484,0.0015151515151515,0.0015151515151515,0.0015151515151515,0.9988888888888888
ViT,0.9937373737373736,0.0062626262626262,0.0062626262626262,0.0062626262626262,0.9887878787878788
