model,eer,far,frr,acc_at_eer,top1,top1_mean,top1_lo,top1_hi,eer_mean,eer_lo,eer_hi,frr@far=1e-3,frr@far=1e-4
EfficientNetB0,0.0059595959595959,0.0059595959595959,0.0059595959595959,0.994040404040404,0.9891919191919192,0.9891569696969696,0.9869696969696969,0.9911111111111112,0.005994486449734202,0.004899018262903516,0.007121249664758327,0.025454545454545507,0.2544444444444445
SiameseCNN,0.0015151515151515,0.0015151515151515,0.0015151515151515,0.9984848484848484,0.9988888888888888,0.9988729292929294,0.9981818181818182,0.9994949494949495,0.0014492452442043655,0.0009091140754528467,0.0020203003776641617,0.0027272727272726893,0.015656565656565702
ViT,0.0062626262626262,0.0062626262626262,0.0062626262626262,0.9937373737373736,0.9887878787878788,0.9887743434343435,0.9867651515151515,0.990810606060606,0.006273128956132856,0.005201909388088369,0.007474747617744659,0.04101010101010105,0.1936363636363636
