model,eer,far_at_eer,frr_at_eer,thr_eer,acc_at_eer,tn,fp,fn,tp
SiameseCNN,0.0015151515151515152,0.0015151515151515152,0.0015151515151515152,0.7460428476333618,0.9984848484848485,9885,15,15,9885
ViT,0.006262626262626263,0.006262626262626263,0.006262626262626263,0.2532704174518585,0.9937373737373737,9838,62,62,9838
EfficientNetB0,0.00595959595959596,0.00595959595959596,0.00595959595959596,0.5967280268669128,0.9940404040404041,9841,59,59,9841
